Date,Close,High,Low,Open,Volume,Daily Return,MA20,MA50
2022-01-03,178.10365295410156,178.95499096160628,173.895952516217,174.01337226981713,104487900,,,
2022-01-04,175.84323120117188,179.01369889567948,175.2756775127618,178.71035458130368,99310400,-0.012691608035194,,
2022-01-05,171.16586303710938,176.30318747314612,170.89187359502515,175.75520858897764,94537600,-0.0265996486308386,,
2022-01-06,168.3085174560547,171.53769548653034,167.95624321761545,168.99349099432447,96904000,-0.0166934313323633,,
2022-01-07,168.47482299804688,170.4025433354672,167.35929069026096,169.1793712904695,86709100,0.0009880993814563,,
2022-01-10,168.49444580078125,168.79779016511287,164.56071920573362,165.45119229098708,106765600,0.0001164732058189,,
2022-01-11,171.3223876953125,171.4202325096092,167.15382233749222,168.62162893365016,76138300,0.0167835911806544,,
2022-01-12,171.76275634765625,173.3773379097134,171.06800280036754,172.3400901249927,74805200,0.002570409263306,,
2022-01-13,168.49444580078125,172.8293615927784,168.1030216763988,172.00739332853072,84505800,-0.0190280513446103,,
2022-01-14,169.35556030273438,170.05031384521072,167.41804452412237,167.66267899736397,80440800,0.0051106402817056,,
2022-01-18,166.15573120117188,168.83691537487223,165.77410203397278,167.82902257608225,90956700,-0.0188941484758019,,
2022-01-19,162.662353515625,167.40826837840387,162.37858408989868,166.3514456378891,94815000,-0.0210247197631557,,
2022-01-20,160.979248046875,166.03828667936338,160.65632878123083,163.3962376065405,91420500,-0.0103472342086107,,
2022-01-21,158.92431640625,162.76018251834915,158.81667665863466,160.8911718694381,122848900,-0.0127651959215676,,
2022-01-24,158.15126037597656,158.8166737850042,151.37978119467465,156.58560899416543,162294600,-0.0048643030075857,,
2022-01-25,156.35073852539062,159.26677642977702,153.64998009025078,155.56790544915762,115798400,-0.0113848087350395,,
2022-01-26,156.2626953125,160.86181974023197,154.43283450239605,159.99092174206848,108275300,-0.0005631135082635,,
2022-01-27,155.80282592773438,160.3236668366123,154.8829977929069,158.96349957568594,121954600,-0.0029429249498478,,
2022-01-28,166.67433166503906,166.69390660020625,159.30594382680772,162.15349217595866,179935700,0.069777333450596,,
2022-01-31,171.02880859375,171.2440880703996,165.87191101795182,166.5079694467073,115541600,0.0261256600534149,166.2158996582031,
2022-02-01,170.86245727539062,171.0875167509808,168.61181772559075,170.2753287210778,86213900,-0.0009726508634841,165.85383987426758,
2022-02-02,172.06610107421875,172.10525095182186,169.6099763158955,170.99949834473722,84914300,0.0070445188370908,165.66498336791992,
2022-02-03,169.1891632080078,172.45749049022623,168.42590499267487,170.7352545735362,89418100,-0.0167199573201812,165.56614837646484,
2022-02-04,168.90505981445312,170.580497991328,167.22962163757825,168.20940619823992,82465400,-0.0016792056191293,165.59597549438476,
2022-02-07,168.18980407714844,170.4335039135459,167.4941505320522,169.36554243968104,77251200,-0.004234661401443,165.58172454833985,
